"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Asian/Pacific
Islander",2,9,0,0,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Black",5,80.3,0,0,1,16.1,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Latino/Hispanic",2,14.6,1,50,3,21.8,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Other/Unknown",0,0,0,NA,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","White",12,17.3,6,50,9,12.9,210
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","All",33,15.1,2,6.1,15,6.8,202
2016,"Brooklyn","Greenpoint","All","Other/Unknown",0,0,0,NA,0,0,201
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","Asian/Pacific
Islander",1,4.6,0,0,1,4.6,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","Black",17,51.6,0,0,7,21.2,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","Latino/Hispanic",6,18.1,0,0,3,9.1,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","Other/Unknown",0,0,0,NA,0,0,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","All","White",9,7.1,2,22.2,4,3.2,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","All",10,8.5,1,10,4,3.4,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","Black",8,41.4,0,0,3,15.5,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","Latino/Hispanic",1,5.7,0,0,0,0,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","Other/Unknown",0,0,0,NA,0,0,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Female","White",1,1.5,1,100,1,1.5,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","All",23,22.7,1,4.3,11,10.8,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","Asian/Pacific
Islander",1,11.3,0,0,1,11.3,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","Black",9,65.8,0,0,4,29.3,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","Latino/Hispanic",5,32.3,0,0,3,19.4,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","Other/Unknown",0,0,0,NA,0,0,202
2016,"Brooklyn","Downtown - Heights -
Park Slope","Male","White",8,13,1,12.5,3,4.9,202
2016,"Brooklyn","East Flatbush -
Flatbush","All","All",88,34.9,20,22.7,55,21.8,207
2016,"Brooklyn","East Flatbush -
Flatbush","All","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","All","Black",76,43.5,18,23.7,48,27.5,207
2016,"Brooklyn","East Flatbush -
Flatbush","All","Latino/Hispanic",6,24,1,16.7,5,20,207
2016,"Brooklyn","East Flatbush -
Flatbush","All","Other/Unknown",2,56.9,0,0,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","All","White",4,10,1,25,2,5,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","All",32,22.8,11,34.4,25,17.8,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","Black",31,31.1,11,35.5,24,24.1,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","Latino/Hispanic",0,0,0,NA,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","Other/Unknown",1,48.5,0,0,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","Female","White",0,0,0,NA,1,5,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","All",56,49.9,9,16.1,30,26.8,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","Black",45,60,7,15.6,24,32,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","Latino/Hispanic",6,51.4,1,16.7,5,42.9,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","Other/Unknown",1,68.8,0,0,0,0,207
2016,"Brooklyn","East Flatbush -
Flatbush","Male","White",4,20.2,1,25,1,5.1,207
2016,"Brooklyn","East New York","All","All",69,43.6,11,15.9,45,28.5,204
2016,"Brooklyn","East New York","All","Asian/Pacific
Islander",4,49.8,0,0,0,0,204
2016,"Brooklyn","East New York","All","Black",45,52.2,5,11.1,28,32.5,204
2016,"Brooklyn","East New York","All","Latino/Hispanic",18,32.2,6,33.3,16,28.6,204
2016,"Brooklyn","East New York","All","Other/Unknown",1,70.6,0,0,0,0,204
2016,"Brooklyn","East New York","All","White",1,15.6,0,0,1,15.6,204
2016,"Brooklyn","East New York","Female","All",23,26.5,5,21.7,16,18.4,204
2016,"Brooklyn","East New York","Female","Asian/Pacific
Islander",1,25,0,0,0,0,204
2016,"Brooklyn","East New York","Female","Black",16,32.6,2,12.5,10,20.4,204
2016,"Brooklyn","East New York","Female","Latino/Hispanic",5,16.8,3,60,5,16.8,204
2016,"Brooklyn","East New York","Female","Other/Unknown",0,0,0,NA,0,0,204
2016,"Brooklyn","East New York","Female","White",1,30.6,0,0,1,30.6,204
2016,"Brooklyn","East New York","Male","All",46,64.6,6,13,29,40.7,204
2016,"Brooklyn","East New York","Male","Asian/Pacific
Islander",3,74.5,0,0,0,0,204
2016,"Brooklyn","East New York","Male","Black",29,77.9,3,10.3,18,48.3,204
2016,"Brooklyn","East New York","Male","Latino/Hispanic",13,49.7,3,23.1,11,42,204
2016,"Brooklyn","East New York","Male","Other/Unknown",1,156.9,0,0,0,0,204
2016,"Brooklyn","East New York","Male","White",0,0,0,NA,0,0,204
2016,"Brooklyn","Greenpoint","All","All",10,8.5,3,30,10,8.5,201
2016,"Brooklyn","Greenpoint","All","Asian/Pacific
Islander",2,27.1,0,0,0,0,201
2016,"Brooklyn","Greenpoint","All","Black",1,23.4,0,0,3,70.1,201
2016,"Brooklyn","Greenpoint","All","Latino/Hispanic",3,11.2,2,66.7,3,11.2,201
2016,"Brooklyn","Greenpoint","All","White",4,5.2,1,25,4,5.2,201
2016,"Brooklyn","Greenpoint","Female","All",1,1.7,0,0,1,1.7,201
2016,"Brooklyn","Greenpoint","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,201
2016,"Brooklyn","Greenpoint","Female","Black",0,0,0,NA,1,45.3,201
2016,"Brooklyn","Greenpoint","Female","Latino/Hispanic",0,0,0,NA,0,0,201
2016,"Brooklyn","Greenpoint","Female","Other/Unknown",0,0,0,NA,0,0,201
2016,"Brooklyn","Greenpoint","Female","White",1,2.6,0,0,0,0,201
2016,"Brooklyn","Greenpoint","Male","All",9,15.5,3,33.3,9,15.5,201
2016,"Brooklyn","Greenpoint","Male","Asian/Pacific
Islander",2,64.4,0,0,0,0,201
2016,"Brooklyn","Greenpoint","Male","Black",1,48.2,0,0,2,96.4,201
2016,"Brooklyn","Greenpoint","Male","Latino/Hispanic",3,23.9,2,66.7,3,23.9,201
2016,"Brooklyn","Greenpoint","Male","Other/Unknown",0,0,0,NA,0,0,201
2016,"Brooklyn","Greenpoint","Male","White",3,7.6,1,33.3,4,10.2,201
2016,"Brooklyn","Sunset Park","All","All",23,23.2,5,21.7,12,12.1,205
2016,"Brooklyn","Sunset Park","All","Asian/Pacific
Islander",7,19.4,3,42.9,3,8.3,205
2016,"Brooklyn","Sunset Park","All","Black",4,134.7,1,25,2,67.3,205
2016,"Brooklyn","Sunset Park","All","Latino/Hispanic",8,19.1,0,0,4,9.5,205
2016,"Brooklyn","Sunset Park","All","Other/Unknown",0,0,0,NA,0,0,205
2016,"Brooklyn","Sunset Park","All","White",4,23.9,1,25,3,17.9,205
2016,"Brooklyn","Sunset Park","Female","All",4,8.3,0,0,3,6.2,205
2016,"Brooklyn","Sunset Park","Female","Asian/Pacific
Islander",1,5.4,0,0,0,0,205
2016,"Brooklyn","Sunset Park","Female","Black",1,80.4,0,0,1,80.4,205
2016,"Brooklyn","Sunset Park","Female","Latino/Hispanic",2,10.1,0,0,2,10.1,205
2016,"Brooklyn","Sunset Park","Female","Other/Unknown",0,0,0,NA,0,0,205
2016,"Brooklyn","Sunset Park","Female","White",0,0,0,NA,0,0,205
2016,"Brooklyn","Sunset Park","Male","All",19,37.6,5,26.3,9,17.8,205
2016,"Brooklyn","Sunset Park","Male","Asian/Pacific
Islander",6,33.9,3,50,3,17,205
2016,"Brooklyn","Sunset Park","Male","Black",3,173.7,1,33.3,1,57.9,205
2016,"Brooklyn","Sunset Park","Male","Latino/Hispanic",6,27.1,0,0,2,9,205
2016,"Brooklyn","Sunset Park","Male","Other/Unknown",0,0,0,NA,0,0,205
2016,"Brooklyn","Sunset Park","Male","White",4,47.3,1,25,3,35.5,205
2016,"Brooklyn","Williamsburg -
Bushwick","All","All",76,41.9,7,9.2,41,22.6,211
2016,"Brooklyn","Williamsburg -
Bushwick","All","Asian/Pacific
Islander",2,17.8,0,0,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","All","Black",33,67.4,3,9.1,19,38.8,211
2016,"Brooklyn","Williamsburg -
Bushwick","All","Latino/Hispanic",27,36,4,14.8,21,28,211
2016,"Brooklyn","Williamsburg -
Bushwick","All","Other/Unknown",0,0,0,NA,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","All","White",14,32.5,0,0,1,2.3,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","All",13,13.9,3,23.1,12,12.9,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","Black",7,25.7,2,28.6,8,29.4,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","Latino/Hispanic",6,15.4,1,16.7,4,10.3,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","Other/Unknown",0,0,0,NA,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","Female","White",0,0,0,NA,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","All",63,71.7,4,6.3,29,33,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","Asian/Pacific
Islander",2,38.7,0,0,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","Black",26,119.5,1,3.8,11,50.6,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","Latino/Hispanic",21,58.1,3,14.3,17,47,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","Other/Unknown",0,0,0,NA,0,0,211
2016,"Brooklyn","Williamsburg -
Bushwick","Male","White",14,59.5,0,0,1,4.3,211
2016,"Manhattan","Central Harlem -
Morningside Heights","All","All",81,51.5,16,19.8,51,32.4,302
2016,"Manhattan","Central Harlem -
Morningside Heights","All","Asian/Pacific
Islander",2,20.7,0,0,1,10.4,302
2016,"Manhattan","Central Harlem -
Morningside Heights","All","Black",46,59.9,12,26.1,38,49.5,302
