"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2019,"Brooklyn","Canarsie - Flatlands","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,208
2019,"Brooklyn","Canarsie - Flatlands","Male","Black",17,36.4,5,29.4,11,23.6,208
2019,"Brooklyn","Canarsie - Flatlands","Male","Latino/Hispanic",3,42.5,0,0,2,28.3,208
2019,"Brooklyn","Canarsie - Flatlands","Male","Other/Unknown",0,0,0,NA,0,0,208
2019,"Brooklyn","Canarsie - Flatlands","Male","White",1,6,0,0,1,6,208
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","All",22,9,5,22.7,16,6.5,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","Asian/Pacific
Islander",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","Black",8,52.7,3,37.5,10,65.9,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","Latino/Hispanic",6,21.7,1,16.7,3,10.8,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","Other/Unknown",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","All","White",8,5.3,1,12.5,3,2,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","All",7,5.4,3,42.9,8,6.1,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Black",3,32.6,2,66.7,5,54.4,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Latino/Hispanic",1,7,0,0,1,7,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Other/Unknown",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Female","White",3,3.7,1,33.3,2,2.5,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","All",15,13.2,2,13.3,8,7,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Black",5,83.7,1,20,5,83.7,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Latino/Hispanic",5,37.5,1,20,2,15,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Other/Unknown",0,0,0,NA,0,0,210
2019,"Brooklyn","Coney Island -
Sheepshead Bay","Male","White",5,7.2,0,0,1,1.4,210
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","All",29,13.3,4,13.8,17,7.8,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","Asian/Pacific
Islander",1,4.5,0,0,0,0,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","Black",18,55.9,3,16.7,10,31.1,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","Latino/Hispanic",4,12.3,0,0,3,9.2,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","Other/Unknown",1,18.4,0,0,1,18.4,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","All","White",5,4,1,20,3,2.4,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","All",11,9.4,2,18.2,8,6.8,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","Black",8,42.5,2,25,6,31.9,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","Latino/Hispanic",1,5.7,0,0,1,5.7,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","Other/Unknown",1,32.1,0,0,0,0,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Female","White",1,1.5,0,0,1,1.5,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","All",18,17.9,2,11.1,9,8.9,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","Asian/Pacific
Islander",1,11.3,0,0,0,0,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","Black",10,74.8,1,10,4,29.9,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","Latino/Hispanic",3,19.7,0,0,2,13.2,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","Other/Unknown",0,0,0,NA,1,43.1,202
2019,"Brooklyn","Downtown - Heights -
Park Slope","Male","White",4,6.6,1,25,2,3.3,202
2019,"Brooklyn","East Flatbush -
Flatbush","All","All",88,35.6,15,17,46,18.6,207
2019,"Brooklyn","East Flatbush -
Flatbush","All","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","All","Black",61,35.9,11,18,39,23,207
2019,"Brooklyn","East Flatbush -
Flatbush","All","Latino/Hispanic",15,61.2,4,26.7,6,24.5,207
2019,"Brooklyn","East Flatbush -
Flatbush","All","Other/Unknown",3,79.2,0,0,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","All","White",9,22.8,0,0,1,2.5,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","All",18,13.2,4,22.2,15,11,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","Black",16,16.6,3,18.8,12,12.4,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","Latino/Hispanic",1,7.6,1,100,2,15.2,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","Other/Unknown",0,0,0,NA,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","Female","White",1,5,0,0,1,5,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","All",70,63.6,11,15.7,31,28.2,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","Black",45,61.4,8,17.8,27,36.9,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","Latino/Hispanic",14,122.8,3,21.4,4,35.1,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","Other/Unknown",3,190.7,0,0,0,0,207
2019,"Brooklyn","East Flatbush -
Flatbush","Male","White",8,40.8,0,0,0,0,207
2019,"Brooklyn","East New York","All","All",65,42.4,5,7.7,34,22.2,204
2019,"Brooklyn","East New York","All","Asian/Pacific
Islander",1,12.5,0,0,1,12.5,204
2019,"Brooklyn","East New York","All","Black",43,51.8,4,9.3,24,28.9,204
2019,"Brooklyn","East New York","All","Latino/Hispanic",16,29.3,1,6.3,9,16.5,204
2019,"Brooklyn","East New York","All","Other/Unknown",2,131.9,0,0,0,0,204
2019,"Brooklyn","East New York","All","White",3,47.6,0,0,0,0,204
2019,"Brooklyn","East New York","Female","All",9,10.7,1,11.1,8,9.5,204
2019,"Brooklyn","East New York","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,204
2019,"Brooklyn","East New York","Female","Black",8,17,1,12.5,6,12.8,204
2019,"Brooklyn","East New York","Female","Latino/Hispanic",1,3.4,0,0,2,6.9,204
2019,"Brooklyn","East New York","Female","Other/Unknown",0,0,0,NA,0,0,204
2019,"Brooklyn","East New York","Female","White",0,0,0,NA,0,0,204
2019,"Brooklyn","East New York","Male","All",56,81,4,7.1,26,37.6,204
2019,"Brooklyn","East New York","Male","Asian/Pacific
Islander",1,25,0,0,1,25,204
2019,"Brooklyn","East New York","Male","Black",35,97.5,3,8.6,18,50.1,204
2019,"Brooklyn","East New York","Male","Latino/Hispanic",15,58.8,1,6.7,7,27.4,204
2019,"Brooklyn","East New York","Male","Other/Unknown",2,291.1,0,0,0,0,204
2019,"Brooklyn","East New York","Male","White",3,97.3,0,0,0,0,204
2019,"Brooklyn","Greenpoint","All","All",13,11,1,7.7,3,2.5,201
2019,"Brooklyn","Greenpoint","All","Asian/Pacific
Islander",1,13.4,1,100,1,13.4,201
2019,"Brooklyn","Greenpoint","All","Black",0,0,0,NA,2,48.1,201
2019,"Brooklyn","Greenpoint","All","Latino/Hispanic",5,18.9,0,0,0,0,201
2019,"Brooklyn","Greenpoint","All","Other/Unknown",1,38,0,0,0,0,201
2019,"Brooklyn","Greenpoint","All","White",6,7.8,0,0,0,0,201
2019,"Brooklyn","Greenpoint","Female","All",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Female","Black",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Female","Latino/Hispanic",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Female","Other/Unknown",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Female","White",0,0,0,NA,0,0,201
2019,"Brooklyn","Greenpoint","Male","All",13,22.4,1,7.7,3,5.2,201
2019,"Brooklyn","Greenpoint","Male","Asian/Pacific
Islander",1,32,1,100,1,32,201
2019,"Brooklyn","Greenpoint","Male","Black",0,0,0,NA,2,98.7,201
2019,"Brooklyn","Greenpoint","Male","Latino/Hispanic",5,40.2,0,0,0,0,201
2019,"Brooklyn","Greenpoint","Male","Other/Unknown",1,82,0,0,0,0,201
2019,"Brooklyn","Greenpoint","Male","White",6,15.3,0,0,0,0,201
2019,"Brooklyn","Sunset Park","All","All",13,13.3,2,15.4,6,6.1,205
2019,"Brooklyn","Sunset Park","All","Asian/Pacific
Islander",2,5.5,1,50,2,5.5,205
2019,"Brooklyn","Sunset Park","All","Black",0,0,0,NA,0,0,205
2019,"Brooklyn","Sunset Park","All","Latino/Hispanic",9,22,1,11.1,4,9.8,205
2019,"Brooklyn","Sunset Park","All","Other/Unknown",1,81.1,0,0,0,0,205
2019,"Brooklyn","Sunset Park","All","White",1,6,0,0,0,0,205
2019,"Brooklyn","Sunset Park","Female","All",2,4.2,0,0,0,0,205
2019,"Brooklyn","Sunset Park","Female","Asian/Pacific
Islander",1,5.4,0,0,0,0,205
2019,"Brooklyn","Sunset Park","Female","Black",0,0,0,NA,0,0,205
2019,"Brooklyn","Sunset Park","Female","Latino/Hispanic",1,5.1,0,0,0,0,205
2019,"Brooklyn","Sunset Park","Female","Other/Unknown",0,0,0,NA,0,0,205
2019,"Brooklyn","Sunset Park","Female","White",0,0,0,NA,0,0,205
2019,"Brooklyn","Sunset Park","Male","All",11,22.1,2,18.2,6,12.1,205
2019,"Brooklyn","Sunset Park","Male","Asian/Pacific
Islander",1,5.7,1,100,2,11.4,205
2019,"Brooklyn","Sunset Park","Male","Black",0,0,0,NA,0,0,205
2019,"Brooklyn","Sunset Park","Male","Latino/Hispanic",8,37.3,1,12.5,4,18.7,205
2019,"Brooklyn","Sunset Park","Male","Other/Unknown",1,156.3,0,0,0,0,205
2019,"Brooklyn","Sunset Park","Male","White",1,11.9,0,0,0,0,205
2019,"Brooklyn","Williamsburg -
Bushwick","All","All",54,30.5,8,14.8,30,16.9,211
2019,"Brooklyn","Williamsburg -
Bushwick","All","Asian/Pacific
Islander",1,8.8,0,0,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","All","Black",24,50.7,2,8.3,15,31.7,211
2019,"Brooklyn","Williamsburg -
Bushwick","All","Latino/Hispanic",19,25.9,4,21.1,12,16.4,211
2019,"Brooklyn","Williamsburg -
Bushwick","All","Other/Unknown",0,0,0,NA,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","All","White",10,23.7,2,20,3,7.1,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","All",5,5.5,1,20,7,7.6,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","Black",3,11.4,0,0,3,11.4,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","Latino/Hispanic",2,5.2,1,50,4,10.5,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","Other/Unknown",0,0,0,NA,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","Female","White",0,0,0,NA,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","All",49,57.1,7,14.3,23,26.8,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","Asian/Pacific
Islander",1,19.3,0,0,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","Black",21,99.6,2,9.5,12,56.9,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","Latino/Hispanic",17,48.3,3,17.6,8,22.7,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","Other/Unknown",0,0,0,NA,0,0,211
2019,"Brooklyn","Williamsburg -
Bushwick","Male","White",10,43.6,2,20,3,13.1,211
2019,"Manhattan","Central Harlem -
Morningside Heights","All","All",75,48.4,12,16,47,30.3,302
2019,"Manhattan","Central Harlem -
Morningside Heights","All","Asian/Pacific
Islander",1,10.4,0,0,1,10.4,302
2019,"Manhattan","Central Harlem -
Morningside Heights","All","Black",47,62.3,9,19.1,29,38.4,302
2019,"Manhattan","Central Harlem -
Morningside Heights","All","Latino/Hispanic",20,53.3,3,15,13,34.6,302
2019,"Manhattan","Central Harlem -
Morningside Heights","All","Other/Unknown",1,25.1,0,0,1,25.1,302
2019,"Manhattan","Central Harlem -
Morningside Heights","All","White",6,21.2,0,0,3,10.6,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","All",10,11.9,3,30,14,16.6,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","Black",9,21.6,3,33.3,12,28.8,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","Latino/Hispanic",1,4.9,0,0,2,9.8,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","Other/Unknown",0,0,0,NA,0,0,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Female","White",0,0,0,NA,0,0,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","All",65,91.9,9,13.8,33,46.6,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","Asian/Pacific
Islander",1,24.1,0,0,1,24.1,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","Black",38,112.4,6,15.8,17,50.3,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","Latino/Hispanic",19,111.1,3,15.8,11,64.3,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","Other/Unknown",1,59.8,0,0,1,59.8,302
2019,"Manhattan","Central Harlem -
Morningside Heights","Male","White",6,42.7,0,0,3,21.4,302
2019,"Manhattan","Chelsea - Clinton","All","All",48,31.5,5,10.4,20,13.1,306
2019,"Manhattan","Chelsea - Clinton","All","Asian/Pacific
Islander",5,18.6,0,0,2,7.4,306
2019,"Manhattan","Chelsea - Clinton","All","Black",9,115.1,0,0,4,51.1,306
2019,"Manhattan","Chelsea - Clinton","All","Latino/Hispanic",22,96,4,18.2,9,39.3,306
2019,"Manhattan","Chelsea - Clinton","All","Other/Unknown",0,0,0,NA,0,0,306
2019,"Manhattan","Chelsea - Clinton","All","White",12,13.1,1,8.3,5,5.5,306
2019,"Manhattan","Chelsea - Clinton","Female","All",3,4.1,0,0,0,0,306
2019,"Manhattan","Chelsea - Clinton","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,306
2019,"Manhattan","Chelsea - Clinton","Female","Black",1,28,0,0,0,0,306
2019,"Manhattan","Chelsea - Clinton","Female","Latino/Hispanic",1,9,0,0,0,0,306
2019,"Manhattan","Chelsea - Clinton","Female","Other/Unknown",0,0,0,NA,0,0,306
2019,"Manhattan","Chelsea - Clinton","Female","White",1,2.3,0,0,0,0,306
2019,"Manhattan","Chelsea - Clinton","Male","All",45,57.4,5,11.1,20,25.5,306
2019,"Manhattan","Chelsea - Clinton","Male","Asian/Pacific
Islander",5,41.5,0,0,2,16.6,306
2019,"Manhattan","Chelsea - Clinton","Male","Black",8,188.3,0,0,4,94.2,306
2019,"Manhattan","Chelsea - Clinton","Male","Latino/Hispanic",21,178.5,4,19,9,76.5,306
2019,"Manhattan","Chelsea - Clinton","Male","Other/Unknown",0,0,0,NA,0,0,306
2019,"Manhattan","Chelsea - Clinton","Male","White",11,22.5,1,9.1,5,10.2,306
2019,"Manhattan","East Harlem","All","All",33,34.7,6,18.2,24,25.2,303
2019,"Manhattan","East Harlem","All","Asian/Pacific
Islander",1,12.7,0,0,0,0,303
2019,"Manhattan","East Harlem","All","Black",14,48.7,2,14.3,13,45.2,303
2019,"Manhattan","East Harlem","All","Latino/Hispanic",11,25.7,3,27.3,8,18.7,303
2019,"Manhattan","East Harlem","All","Other/Unknown",1,82,0,0,0,0,303
2019,"Manhattan","East Harlem","All","White",6,41.2,1,16.7,3,20.6,303
2019,"Manhattan","East Harlem","Female","All",4,7.9,0,0,8,15.8,303
2019,"Manhattan","East Harlem","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,303
2019,"Manhattan","East Harlem","Female","Black",2,12.5,0,0,6,37.6,303
2019,"Manhattan","East Harlem","Female","Latino/Hispanic",1,4.4,0,0,1,4.4,303
2019,"Manhattan","East Harlem","Female","Other/Unknown",0,0,0,NA,0,0,303
2019,"Manhattan","East Harlem","Female","White",1,13.9,0,0,1,13.9,303
2019,"Manhattan","East Harlem","Male","All",29,65.1,6,20.7,16,35.9,303
2019,"Manhattan","East Harlem","Male","Asian/Pacific
Islander",1,28,0,0,0,0,303
2019,"Manhattan","East Harlem","Male","Black",12,93.8,2,16.7,7,54.7,303
2019,"Manhattan","East Harlem","Male","Latino/Hispanic",10,49.4,3,30,7,34.6,303
2019,"Manhattan","East Harlem","Male","Other/Unknown",1,178.7,0,0,0,0,303
2019,"Manhattan","East Harlem","Male","White",5,67.9,1,20,2,27.2,303
2019,"Manhattan","Gramercy Park -
Murray Hill","All","All",18,14.3,3,16.7,9,7.1,307
2019,"Manhattan","Gramercy Park -
Murray Hill","All","Asian/Pacific
Islander",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","All","Black",4,74.9,0,0,2,37.5,307
2019,"Manhattan","Gramercy Park -
Murray Hill","All","Latino/Hispanic",10,97.5,3,30,4,39,307
2019,"Manhattan","Gramercy Park -
Murray Hill","All","Other/Unknown",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","All","White",4,4.6,0,0,3,3.5,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","All",3,4.4,0,0,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","Black",1,40.9,0,0,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","Latino/Hispanic",2,37.8,0,0,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","Other/Unknown",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Female","White",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","All",15,25.6,3,20,9,15.4,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","Black",3,103.7,0,0,2,69.2,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","Latino/Hispanic",8,161.2,3,37.5,4,80.6,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","Other/Unknown",0,0,0,NA,0,0,307
2019,"Manhattan","Gramercy Park -
Murray Hill","Male","White",4,10,0,0,3,7.5,307
2019,"Manhattan","Greenwich Village -
Soho","All","All",13,17.4,1,7.7,5,6.7,308
2019,"Manhattan","Greenwich Village -
Soho","All","Asian/Pacific
Islander",1,7.3,0,0,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","All","Black",1,54.1,0,0,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","All","Latino/Hispanic",5,94.8,0,0,3,56.9,308
2019,"Manhattan","Greenwich Village -
Soho","All","Other/Unknown",1,54.9,1,100,1,54.9,308
2019,"Manhattan","Greenwich Village -
Soho","All","White",5,9.6,0,0,1,1.9,308
2019,"Manhattan","Greenwich Village -
Soho","Female","All",0,0,0,NA,1,2.7,308
2019,"Manhattan","Greenwich Village -
Soho","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Female","Black",0,0,0,NA,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Female","Latino/Hispanic",0,0,0,NA,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Female","Other/Unknown",0,0,0,NA,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Female","White",0,0,0,NA,1,3.9,308
2019,"Manhattan","Greenwich Village -
Soho","Male","All",13,34.9,1,7.7,4,10.8,308
2019,"Manhattan","Greenwich Village -
Soho","Male","Asian/Pacific
Islander",1,16.4,0,0,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Male","Black",1,83.3,0,0,0,0,308
2019,"Manhattan","Greenwich Village -
Soho","Male","Latino/Hispanic",5,173.8,0,0,3,104.3,308
2019,"Manhattan","Greenwich Village -
Soho","Male","Other/Unknown",1,128.6,1,100,1,128.6,308
2019,"Manhattan","Greenwich Village -
Soho","Male","White",5,19.1,0,0,0,0,308
2019,"Manhattan","Lower Manhattan","All","All",7,12.3,4,57.1,5,8.8,310
2019,"Manhattan","Lower Manhattan","All","Asian/Pacific
Islander",0,0,0,NA,1,7.6,310
2019,"Manhattan","Lower Manhattan","All","Black",4,147.5,3,75,2,73.8,310
2019,"Manhattan","Lower Manhattan","All","Latino/Hispanic",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","All","Other/Unknown",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","All","White",3,8.8,1,33.3,2,5.9,310
2019,"Manhattan","Lower Manhattan","Female","All",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Female","Black",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Female","Latino/Hispanic",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Female","Other/Unknown",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Female","White",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Male","All",7,25.2,4,57.1,5,18,310
2019,"Manhattan","Lower Manhattan","Male","Asian/Pacific
Islander",0,0,0,NA,1,17.6,310
2019,"Manhattan","Lower Manhattan","Male","Black",4,289.4,3,75,2,144.7,310
2019,"Manhattan","Lower Manhattan","Male","Latino/Hispanic",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Male","Other/Unknown",0,0,0,NA,0,0,310
2019,"Manhattan","Lower Manhattan","Male","White",3,17.1,1,33.3,2,11.4,310
2019,"Manhattan","Union Square -
Lower East Side","All","All",29,17.1,1,3.4,11,6.5,309
2019,"Manhattan","Union Square -
Lower East Side","All","Asian/Pacific
Islander",1,2.3,0,0,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","All","Black",18,156.7,0,0,5,43.5,309
2019,"Manhattan","Union Square -
Lower East Side","All","Latino/Hispanic",8,24.2,1,12.5,4,12.1,309
2019,"Manhattan","Union Square -
Lower East Side","All","Other/Unknown",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","All","White",2,2.5,0,0,2,2.5,309
2019,"Manhattan","Union Square -
Lower East Side","Female","All",2,2.2,0,0,1,1.1,309
2019,"Manhattan","Union Square -
Lower East Side","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Female","Black",2,33.7,0,0,1,16.8,309
2019,"Manhattan","Union Square -
Lower East Side","Female","Latino/Hispanic",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Female","Other/Unknown",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Female","White",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Male","All",27,33.8,1,3.7,10,12.5,309
2019,"Manhattan","Union Square -
Lower East Side","Male","Asian/Pacific
Islander",1,5.2,0,0,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Male","Black",16,288.6,0,0,4,72.2,309
2019,"Manhattan","Union Square -
Lower East Side","Male","Latino/Hispanic",8,53.7,1,12.5,4,26.9,309
2019,"Manhattan","Union Square -
Lower East Side","Male","Other/Unknown",0,0,0,NA,0,0,309
2019,"Manhattan","Union Square -
Lower East Side","Male","White",2,5.2,0,0,2,5.2,309
2019,"Manhattan","Upper East Side","All","All",8,4.2,4,50,15,7.9,305
2019,"Manhattan","Upper East Side","All","Asian/Pacific
Islander",2,9.8,1,50,1,4.9,305
2019,"Manhattan","Upper East Side","All","Black",1,21.4,0,0,3,64.3,305
2019,"Manhattan","Upper East Side","All","Latino/Hispanic",2,10.8,2,100,5,27.1,305
2019,"Manhattan","Upper East Side","All","Other/Unknown",0,0,0,NA,0,0,305
2019,"Manhattan","Upper East Side","All","White",3,2.1,1,33.3,6,4.2,305
2019,"Manhattan","Upper East Side","Female","All",0,0,0,NA,3,2.8,305
2019,"Manhattan","Upper East Side","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,305
2019,"Manhattan","Upper East Side","Female","Black",0,0,0,NA,2,80.1,305
2019,"Manhattan","Upper East Side","Female","Latino/Hispanic",0,0,0,NA,1,9.7,305
2019,"Manhattan","Upper East Side","Female","Other/Unknown",0,0,0,NA,0,0,305
2019,"Manhattan","Upper East Side","Female","White",0,0,0,NA,0,0,305
2019,"Manhattan","Upper East Side","Male","All",8,9.7,4,50,12,14.5,305
2019,"Manhattan","Upper East Side","Male","Asian/Pacific
Islander",2,23.8,1,50,1,11.9,305
2019,"Manhattan","Upper East Side","Male","Black",1,46.1,0,0,1,46.1,305
2019,"Manhattan","Upper East Side","Male","Latino/Hispanic",2,24.5,2,100,4,48.9,305
2019,"Manhattan","Upper East Side","Male","Other/Unknown",0,0,0,NA,0,0,305
2019,"Manhattan","Upper East Side","Male","White",3,4.8,1,33.3,6,9.6,305
2019,"Manhattan","Upper West Side","All","All",21,10.9,5,23.8,16,8.3,304
2019,"Manhattan","Upper West Side","All","Asian/Pacific
Islander",3,14.8,2,66.7,3,14.8,304
2019,"Manhattan","Upper West Side","All","Black",4,32.8,0,0,4,32.8,304
2019,"Manhattan","Upper West Side","All","Latino/Hispanic",9,29.5,2,22.2,7,22.9,304
2019,"Manhattan","Upper West Side","All","Other/Unknown",1,33.9,1,100,1,33.9,304
2019,"Manhattan","Upper West Side","All","White",4,3.2,0,0,1,0.8,304
2019,"Manhattan","Upper West Side","Female","All",0,0,0,NA,2,1.9,304
2019,"Manhattan","Upper West Side","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,304
2019,"Manhattan","Upper West Side","Female","Black",0,0,0,NA,1,14.4,304
2019,"Manhattan","Upper West Side","Female","Latino/Hispanic",0,0,0,NA,1,6,304
2019,"Manhattan","Upper West Side","Female","Other/Unknown",0,0,0,NA,0,0,304
2019,"Manhattan","Upper West Side","Female","White",0,0,0,NA,0,0,304
2019,"Manhattan","Upper West Side","Male","All",21,24.1,5,23.8,14,16.1,304
2019,"Manhattan","Upper West Side","Male","Asian/Pacific
Islander",3,37.6,2,66.7,3,37.6,304
